編號,_名稱,_坐標84X,_坐標84Y,_可停車位,_可借車數,_地址,
_&_146,_捷運南京三民站(1號出口),_121.563781738281,_25.0515174865723,_24,_0,_南京東路五段/三民路(西北側),
_&_147,_捷運台北101/世貿站,_121.561645507813,_25.032751083374,_42,_10,_莊敬路/信義線五段(東南側),
_&_148,_捷運永安市場站,_121.511589050293,_25.001012802124,_32,_40,_中安街/中和路378巷(東南側),
_&_149,_民生活動中心,_121.562973022461,_25.0591468811035,_18,_13,_民生東路五段/三民路口(西北側),
_&_150,_中和公園,_121.514350891113,_25.0007266998291,_33,_13,_安樂路/得和路(西南側),
_&_151,_臺北市立天文館,_121.518043518066,_25.0957145690918,_19,_30,_基河路363號前,
_&_152,_新北高中,_121.489524841309,_25.0872249603271,_24,_36,_三信路1號旁,
_&_153,_捷運江子翠站(3號出口),_121.472358703613,_25.0297298431396,_22,_22,_文化路二段/雙十路二段,
_&_154,_秀得里(成功路二段),_121.526725769043,_25.0007057189941,_23,_5,_成功路二段28號至34號,
_&_155,_世貿三館,_121.563690185547,_25.035213470459,_30,_30,_市府路/松壽路(東南側) ,
_&_156,_秀朗國小,_121.522842407227,_24.9993915557861,_29,_13,_民生路15號至23號對面,
_&_157,_台北市政府,_121.565170288086,_25.0377979278564,_14,_26,_台北市政府東門(松智路) ,
_&_158,_捷運徐匯中學站(1號出口),_121.479850769043,_25.0804672241211,_28,_27,_中山一路3號(捷運徐匯中學站1號出口旁),
_&_159,_臺北醫學大學,_121.561744689941,_25.0266780853271,_20,_11,_台北醫學大學(吳興街220巷59弄),
_&_160,_福林公園,_121.530212402344,_25.0961227416992,_19,_25,_志成街/中正路(南側),
_&_161,_台北花木批發市場,_121.540740966797,_25.0040225982666,_20,_17,_萬盛街/興隆路一段(西北側),
_&_162,_重陽公園,_121.483619689941,_25.0856876373291,_49,_1,_集賢路221巷重陽活動中心,
_&_163,_世貿二館,_121.565658569336,_25.0347366333008,_62,_16,_松智路/松廉路(東北側) ,
_&_164,_信義廣場(台北101),_121.565620422363,_25.0330390930176,_61,_17,_松智路/信義路(東北側) ,
_&_165,_三民公園,_121.566558837891,_25.0615673065186,_26,_4,_撫遠街/富錦街(東南側),
_&_166,_捷運市政府站(3號出口),_121.567901611328,_25.0408573150635,_127,_53,_忠孝東路/松仁路(東南側),
_&_167,_捷運麟光站2號出口,_121.559280395508,_25.0180969238281,_59,_13,_和平東路三段/和平東路三段416巷(捷運高架橋下),
_&_168,_秀山國小,_121.521987915039,_24.996150970459,_44,_17,_更生街/自立路(西南側),
_&_169,_捷運劍南路站(2號出口),_121.555114746094,_25.0841808319092,_29,_27,_敬業二路/植福路(東北側),
_&_170,_台北市災害應變中心,_121.566116333008,_25.0286617279053,_38,_16,_台北市信義區莊敬路391巷11弄2號,
_&_171,_興雅國中,_121.568664550781,_25.036563873291,_40,_19,_松仁路/松仁路95巷(東南側),
_&_172,_新東公園,_121.568885803223,_25.0592441558838,_25,_25,_民生東路五段/塔悠路(西南側),
_&_173,_羅斯福景隆街口,_121.540199279785,_24.9993782043457,_39,_9,_羅斯福路六段/景隆街交叉口(東南側),
_&_174,_民生公園,_121.475891113281,_25.0130863189697,_19,_23,_民生路一段/民生路一段30巷,
_&_175,_饒河夜市,_121.571884155273,_25.0498447418213,_16,_44,_八德路/松信路(西南側),
_&_176,_頭前運動公園,_121.462127685547,_25.0521793365479,_27,_22,_頭成街165號對面人行道,
_&_177,_永吉松信路口,_121.572052001953,_25.0454292297363,_18,_12,_松信路/永吉路南西側人行道,
_&_178,_捷運芝山站(2號出口),_121.52262878418,_25.1033592224121,_57,_7,_福華路/福華路162巷(東南側),
_&_179,_捷運新埔站(2號出口),_121.467597961426,_25.0220947265625,_18,_4,_文化路一段318號旁廣場,
_&_180,_中強公園,_121.569808959961,_25.0286293029785,_30,_0,_松仁路153巷17號對面,
_&_181,_捷運象山站,_121.571273803711,_25.0328350067139,_41,_17,_信義路五段/信義路五段91巷(西北側),
_&_182,_興豐公園,_121.547775268555,_24.9998378753662,_23,_11,_興隆路二段123巷/興隆路二段(西北側),
_&_183,_松德公園,_121.573432922363,_25.0365676879883,_18,_20,_松德路168巷20號前,
_&_184,_五常公園,_121.574668884277,_25.0481395721436,_15,_21,_松隆路/虎林街30巷口(西南側),
_&_185,_捷運南勢角站1號出口,_121.506980895996,_24.9908046722412,_21,_49,_捷運路131號至141號對面,
_&_186,_吳興公車總站,_121.569839477539,_25.0238761901855,_41,_15,_松仁路/吳興街交叉口,
_&_187,_捷運三民高中站(1號出口),_121.472724914551,_25.0858154296875,_34,_44,_三民路105號,
_&_188,_文湖國小,_121.560890197754,_25.0863761901855,_31,_13,_文湖街21巷/文湖街(東北側),
_&_189,_捷運永春站(2號出口),_121.575370788574,_25.0405578613281,_17,_13,_忠孝東路五段420號旁(東側巷道上),
_&_190,_大鵬華城,_121.533981323242,_24.9911594390869,_27,_11,_新北市新店區中正路700巷3號,
_&_191,_福壽公園,_121.457748413086,_25.0518283843994,_17,_17,_福壽街130號至140號(對面福壽公園),
_&_192,_松德站,_121.574356079102,_25.0315895080566,_25,_14,_台北市信義區松德路300號,
_&_193,_捷運景美站,_121.541061401367,_24.9932537078857,_26,_26,_羅斯福路六段/景中街交叉口(東北側),
_&_194,_洲子二號公園,_121.568687438965,_25.0793228149414,_16,_18,_瑞光路500號對面,
_&_195,_捷運西湖站(1號出口),_121.566696166992,_25.0828666687012,_11,_25,_環山路一段9巷/內湖路一段285巷(西南側),
_&_196,_松山車站,_121.578094482422,_25.0486164093018,_3,_41,_松山車站西出口外自行車格內,
_&_197,_中和國民運動中心,_121.487693786621,_24.9934768676758,_29,_20,_和城路一段/中正二橋,
_&_198,_仁愛廣場,_121.471618652344,_25.0905647277832,_48,_2,_民權路139號旁,
_&_199,_捷運明德站,_121.51831817627,_25.110330581665,_25,_43,_致遠一路一段46巷/西安街一段(東南側),
_&_200,_松山家商,_121.579132080078,_25.0360832214355,_18,_30,_林口街/福德街(南東側),
_&_201,_中華里(中華路二段),_121.453765869141,_25.0459518432617,_36,_1,_中華路2段31號對面,
_&_202,_蘭雅公園,_121.530387878418,_25.1099071502686,_13,_17,_忠誠路二段/忠誠路二段40巷(西南側),
_&_203,_新北市政府,_121.464225769043,_25.0123748779297,_15,_25,_新府路1號對面人行道,
_&_204,_中原公園,_121.463897705078,_25.0833168029785,_45,_7,_長興路22號前通道,
_&_205,_中華自治街口,_121.453201293945,_25.0478553771973,_30,_6,_中華路2段/自治街口人行道(中港大排東側),
_&_206,_聯合醫院板橋院區,_121.45777130127,_25.023832321167,_30,_2,_龍泉街131號旁人行道(立體停車場前),
_&_207,_捷運板橋站(3號出口),_121.462051391602,_25.0147972106934,_47,_20,_文化路一段117號對面人行道,
_&_208,_板橋國民運動中心,_121.458152770996,_25.0222358703613,_32,_12,_英士路/智樂路,
_&_209,_蘭興公園,_121.525886535645,_25.1118392944336,_24,_14,_中山北路六段/士東路(西北側),
_&_210,_瑞光港墘路口,_121.575050354004,_25.076192855835,_10,_20,_瑞光路/港墘路(西南側),
_&_211,_麗山國小,_121.571464538574,_25.0827026367188,_27,_14,_內湖路一段411巷/內湖路一段411巷19弄(東北側),
_&_212,_捷運後山埤站(1號出口),_121.581741333008,_25.0443096160889,_35,_3,_中坡北路/忠孝東路五段(西北側),
_&_213,_捷運板橋站(1號出口),_121.461898803711,_25.0131740570068,_42,_46,_縣民大道二段3號(秀泰影城門口),
_&_214,_台北慈濟醫院,_121.536888122559,_24.9858722686768,_12,_27,_建國路289號旁空地,
_&_215,_中華中原路口,_121.451751708984,_25.0542316436768,_26,_31,_中原路/中華路二段,
_&_216,_中興寶慶街口,_121.541946411133,_24.9869422912598,_30,_18,_中興路三段/寶慶街,
_&_217,_捷運新莊站(1號出口),_121.452072143555,_25.0361518859863,_29,_30,_中正路/中華路一段,
_&_218,_捷運港墘站(2號出口),_121.575454711914,_25.0796813964844,_38,_12,_內湖路一段/港墘路(東南側),
_&_219,_捷運石牌站(2號出口),_121.515678405762,_25.1145133972168,_37,_17,_東華街一段/裕民二路(西側)	,
_&_220,_文山運動中心,_121.55965423584,_24.9968414306641,_12,_25,_興隆路三段/興隆路三段192巷8弄,
_&_221,_板橋地政事務所,_121.463386535645,_25.0079822540283,_48,_3,_實踐路5號對面,
_&_222,_福德公園,_121.583671569824,_25.0380897521973,_47,_19,_大道路/福德街路口北西側,
_&_223,_振華公園,_121.518165588379,_25.1158638000488,_14,_22,_振華街36號對面,
_&_224,_捷運大坪林站,_121.541717529297,_24.9839763641357,_31,_1,_寶安街/寶安街58巷(西北側),
_&_225,_考試院,_121.549827575684,_24.9875068664551,_33,_1,_試院路(雙號)/木柵路一段(東北側),
_&_226,_黃城公園,_121.4482421875,_25.0523815155029,_28,_10,_新莊區中信街74號旁,
_&_227,_永康公園,_121.45873260498,_25.0847644805908,_28,_1,_長安街220巷6號對面人行道,
_&_228,_北投運動中心,_121.509620666504,_25.1166648864746,_28,_34,_石牌路一段39巷100號前,
_&_229,_中港國小,_121.447639465332,_25.0464172363281,_38,_8,_中和街62號對面,
_&_230,_玉成公園,_121.586402893066,_25.0428695678711,_27,_7,_玉成街247號前,
_&_231,_陽光橋,_121.52417755127,_24.978494644165,_26,_14,_溪園路/中山路,
_&_232,_國立臺北護理健康大學,_121.517509460449,_25.118049621582,_20,_9,_石牌路二段130巷/石牌路二段(東南側),
_&_233,_捷運府中站(3號出口),_121.458778381348,_25.0089988708496,_10,_32,_府中路31號至53號對面,
_&_234,_板橋戶政事務所,_121.45630645752,_25.0128383636475,_26,_16,_中正路6號前人行道,
_&_235,_天母運動公園,_121.534133911133,_25.116325378418,_17,_27,_忠誠路二段/忠誠路二段207巷(東南側),
_&_236,_蘆洲國民運動中心,_121.461616516113,_25.0919456481934,_24,_17,_長興路237巷/長興路,
_&_237,_新莊棒球場,_121.44605255127,_25.0416030883789,_23,_15,_和興街75號/復興路一段23號,
_&_238,_永平公園,_121.459426879883,_25.0899868011475,_42,_2,_永樂街38巷42弄公園人行道(永平市場南側),
_&_239,_新莊文化藝術中心,_121.444450378418,_25.0471496582031,_13,_34,_中平路133號前,
_&_240,_板橋和平公園,_121.464324951172,_24.9976787567139,_29,_9,_重慶路355號前廣場,
_&_241,_新泰公園,_121.444946289063,_25.0372009277344,_38,_4,_建中街116巷/建中街116巷3弄,
_&_242,_新店公有中央市場,_121.527290344238,_24.9753074645996,_33,_3,_中央四街64號對面,
_&_243,_捷運唭哩岸站(2號出口),_121.50569152832,_25.1207885742188,_36,_26,_西安街二段/立農街一段257巷,
_&_244,_小金門友誼公園,_121.538139343262,_24.9772262573242,_35,_24,_民族路/建興街,
_&_245,_南港公園,_121.590881347656,_25.0412788391113,_43,_9,_福德街383號對面(南港公園出口前),
_&_246,_裕隆公園,_121.546318054199,_24.9796485900879,_22,_18,_寶中路/品牌路口(東南側),
_&_247,_捷運文德站(2號出口),_121.585266113281,_25.0782928466797,_25,_25,_文德路220巷/文德路(西南側),
_&_248,_新湖國小,_121.589233398438,_25.0687446594238,_17,_7,_民權東路六段/成功路二段320巷31弄(東南側),
_&_249,_捷運昆陽站(1號出口),_121.592376708984,_25.050142288208,_12,_29,_捷運昆陽站1號出口外停車場旁,
_&_250,_新店高中,_121.534210205078,_24.9741802215576,_20,_20,_三民路159巷/三民路108號(對面人行道),
_&_251,_捷運木柵站,_121.574211120605,_24.9977474212646,_18,_32,_木柵路四段82巷18號前(捷運橋樑下),
_&_252,_新北市立圖書館總館,_121.455520629883,_25.0015830993652,_34,_1,_貴興路119巷,
